UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
MG;MORRO DO PILAR;1295;538;0;50;1;125;10;0;0;15;520;16;11;0;5;1;0;0;0;1;2;0
MG;MUNHOZ;5793;2803;0;220;13;827;151;0;5;30;1575;70;24;0;44;7;0;0;0;1;0;23
MG;MURIAE;61904;29786;0;1637;494;3988;1285;0;715;176;18980;1702;232;0;1670;600;25;12;0;4;83;515
MG;MUTUM;13677;4516;0;354;21;973;134;0;153;52;6659;486;129;0;129;32;0;2;0;2;7;28
MG;MUZAMBINHO;18155;9842;0;680;63;2099;432;0;20;113;4118;237;71;0;228;99;9;3;0;1;1;139
MG;NACIP RAYDAN;700;236;0;15;1;32;11;0;3;1;359;27;7;0;6;2;0;0;0;0;0;0
MG;NANUQUE;22376;7291;0;539;39;1420;292;0;64;84;9920;1678;256;0;643;77;7;0;0;0;11;55
MG;NAQUE;2932;1620;0;65;19;231;52;0;12;9;759;27;19;0;94;12;0;0;0;0;2;11
MG;NATALANDIA;1394;601;0;38;4;106;22;0;15;10;472;29;31;0;56;9;0;0;0;0;0;1
MG;NATERCIA;3004;1451;0;111;5;323;57;0;20;20;935;12;23;0;32;3;0;0;0;0;6;6
MG;NAZARENO;5708;3058;0;331;63;599;152;0;9;34;1053;62;67;0;133;91;0;1;0;2;1;52
MG;NEPOMUCENO;17212;10077;0;617;142;1604;497;0;18;71;3344;126;166;0;266;188;5;2;0;1;2;86
MG;NINHEIRA;3232;1101;0;82;11;198;26;0;2;20;1570;132;55;0;18;12;0;0;0;0;0;5
MG;NOVA BELEM;1561;377;0;75;3;108;16;0;0;9;861;78;16;0;8;8;0;0;0;0;1;1
MG;NOVA ERA;9692;5764;0;308;129;842;264;0;51;55;1687;113;110;0;117;177;0;1;0;0;3;71
MG;NOVA LIMA;53773;29068;0;2149;426;4714;2871;0;41;437;9581;901;306;1;689;428;0;11;0;78;15;2057
